4.06520, 48.30300, La Banque Postale, Troyes, 66 rue A. Cottet
2.93519, 49.92948, Credit Agricole, Peronne, place du Commandant L. Daudre
4.35914, 43.83883, Credit Agricole, Nimes, 1 rue des Halles
4.03870, 49.24710, La Banque Postale, Reims, 121 rue Gambetta
7.30445, 47.76774, Groupe CIC-Credit Mutuel, Pfastatt
1.23443, 43.59993, Groupe CIC-Credit Mutuel, Leguevin
2.28513, 48.88743, Groupe CIC-Credit Mutuel, Levallois Perret, Villiers
5.91324, 45.69089, Groupe HSBC-Banque de Savoie, Aix les Bains
-4.50892, 48.40388, Groupe BNP-Paribas, Brest, Bellevue
-1.63361, 49.47005, Groupe CIC-Credit Mutuel, Bricquebec
2.63896, 49.42768, Credit Agricole, Estrees Saint Denis
5.71853, 45.19062, Groupe Banque Populaire-Credit Cooperatif, Grenoble, 29 avenue F. Viallet
-1.52123, 47.26825, Groupe CIC-Credit Mutuel, Saint Joseph la Beaujoire
-0.36991, 43.30007, Groupe CIC-Credit Mutuel, Pau, Republique
3.09177, 50.67712, Groupe CIC-Credit Mutuel, Marcq en Baroeul, Bourg
2.68370, 50.44760, La Banque Postale, Sains en Gohelle, 1 place de la Mairie
2.81678, 49.42668, Groupe La Banque Postale, Margny les Compiegne, 19 rue L. Barthou
2.55206, 48.63343, Banque Societe Generale, Lieusaint
7.58073, 48.35741, Groupe CIC-Credit Mutuel, Benfeld
3.11716, 45.89416, Groupe CIC-Credit Mutuel, Riom
6.04833, 43.40708, Credit Agricole, Brignoles, CC Leclerc
-1.78600, 49.37760, La Banque Postale, Barneville Carteret, place du General de Gaulle
-3.79020, 48.53478, Credit Agricole, Plourin les Morlaix
7.36556, 47.74389, La Banque Postale, Riedisheim, 4 rue Bartholdi
3.93276, 50.12617, Groupe CIC-Credit Mutuel, Avesnes sur Helpe
7.32472, 48.19278, Groupe CIC-Credit Mutuel, Riquewihr
7.32472, 48.19278, Groupe CIC-Credit Mutuel, Ribeauville
-1.02464, 45.62465, Groupe La Banque Postale, Royan, 83 boulevard de la Republique
-1.58900, 47.20060, La Banque Postale, Nantes, 50 boulevard de la Liberte
6.02067, 46.24332, Groupe LCL, Saint Genis Pouilly, place de la Fontaine
2.28899, 48.73210, Credit Agricole, Massy
7.33710, 47.81200, La Banque Postale, Wittenheim, 12 rue de Saint Cloud
4.79182, 46.25364, Credit Agricole, Creche sur Saone
-0.59459, 44.85461, Groupe LCL, Le Bouscat, 27 avenue de la Liberation
3.06249, 50.63737, Groupe CIC-Credit Mutuel, Lille, Grand Place
5.71482, 45.17415, Banque Societe Generale, Grenoble, 143 rue des Allies
2.37435, 47.76592, Credit Agricole, Sully sur Loire, 23 rue du Grand Sully
6.92956, 43.59323, Groupe BNP-Paribas, Pegomas
6.83730, 47.96280, Credit Agricole, Cornimont, 8 place Pranziere
1.81665, 43.69781, Groupe BNP-Paribas, Lavaur
